분류,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류
클래식,2020 서울시향 오스모 벤스케의 베토벤 교향곡 1번,2020-08-20~2020-08-21,예술의전당 콘서트홀,서울시립교향악단,만 7세 이상,R석 : 70000원 S석 : 50000원 A석 : 30000원 B석 : 20000원 C석 : 10000원,,스트라빈스키 ‘풀치넬라’ 모음곡 모차르트 오보에 협주곡 베토벤 교향곡 제1번,,https://www.seoulphil.or.kr/perf/view?perfNo=1205&calendarDate=2020/08/01&langCd=ko&menuFlag=MFLG0001,http://culture.seoul.go.kr/data/ci/20200715162223.JPG,2020-07-15,기관,00:00.0,00:00.0,기타
클래식,우리동네 음악회 실내악,2020-08-11~2020-08-11,성북구립미술관,서울시립교향악단,만 7세 이상,무료,,추후 업데이트 예정,,https://www.seoulphil.or.kr/perf/view?perfNo=1479&calendarDate=2020/08/01&langCd=ko&menuFlag=MFLG0001,http://culture.seoul.go.kr/data/ci/20200715161932.JPG,2020-07-15,기관,00:00.0,00:00.0,기타
뮤지컬/오페라,뮤지컬<썸씽로튼>,2020-08-07~2020-10-18,충무아트센터 대극장,중구청,만 7세 이상 (초등학생 이상) 관람가,VIP석 140000원/R석 120000원  S석 80000원/A석 60000원,,낭만의 르네상스 시대 상상이상의 기발함에 감탄하고 끝을 모르는 유쾌함에 환호하는 올 여름 뮤~우지컬 신드롬을 일으킬  골 때리는 역작!!,,http://www.caci.or.kr/Home/Perf/PerfInfoView.aspx?PerfId=1309&SrchType=8&SelectedYear=2020&SelectedMonth=7&SelectedDay=15,http://culture.seoul.go.kr/data/ci/20200715141958.jpg,2020-07-15,기관,00:00.0,00:00.0,기타
뮤지컬/오페라,뮤지컬 <캔터빌의 유령>,2020-08-28~2020-08-29,구로아트밸리 예술극장,구로문화재단,5세이상,전석 15000원,,문화가 있는 날 명작공연 시리즈 <책 읽는 예술극장> 3회차! 오싹하고 유쾌한 &amp;#39;오스카 와일드&amp;#39; 원작이 라이브 연주로 무대에서 되살아난다.,● 구로문화재단 홈페이지회원 40% ● 2대3인 할인 50%,https://bit.ly/2WjgmrD,http://culture.seoul.go.kr/data/ci/20200715094308.jpg,2020-07-15,기관,00:00.0,00:00.0,문화가 있는 날
클래식,2020 해설이 있는 청소년음악회 이럴때 이런음악 예술의전당,2020-08-13~2020-08-13,예술의전당 IBK챔버홀,,8세 이상 관람 가능,R석 20000원 / S석 10000원,피아노 조상은 윤혜원 이준성 이형천 노수영 신민정 이승경 오상은 문정심 김현정 타악기 안상훈,이럴때 이런음악 해설이 있는 청소년을 위한 음악회 17주년 공연  어서와! 클래식은 처음이지?  ‘특별한 해설’이 있는 클래식을 들으며  나도 클래식 매니아가 된다   방학기간을 이용해 클래식에 좀 더 가까워질 수 없을까?  어렵게만 느껴지는 클래식을 좀 더 쉽고 재미있게 다가갈 수 없을까?   2003년부터 17주년을 맞게 되는 ‘해설이 있는 청소년을 위한 음악회’의 원조 공연으로 매년 전석 매진을 기록한 여름방학 ‘여름이야기’ 시리즈로 연주되는 이번 공연에서는 4대의 피아노 성악 앙상블 현악악상블 피아노 콰르텟 플룻 오케스트라 국악과 함께하는 왈츠 환상곡 애니메이션 주제곡으로 연주되는 광고나 영화에서 들어왔던 오페라 아리아 뮤지컬 넘버 발레 모음곡 오케스트라 국악 등 지금까지 클래식 공연에서 느낄 수 없었던 ‘특별한 해설’이 있는 음악회로 청소년 여러분을 그 현장에 초대합니다.  멀게만 느껴졌던 클래식을 몸소 체험하고 느낄 수 있는 기회가 될 것입니다.,8월 13일 (목) 7시30 예술의전당 IBK챔버홀 4대의 피아노 타악기와 함께하는 슬기로운 피아노 생활,http://hoonent.com/board/?mid=pi&document_srl=16288 ,http://culture.seoul.go.kr/data/ci/20200714153327.jpg,2020-07-14,시민,00:00.0,00:00.0,어린이/청소년 문화행사
클래식,2020 해설이 있는 청소년음악회 이럴때 이런음악 영산아트홀,2020-08-09~2020-08-15,영산아트홀,,만 7세 이상 관람 가능,R석 20000원 / S석 10000원,8월 9일 일요일 3시 영산아트홀  피아노 노수영 신민정 8월 15일 (토) 3시 영산아트홀  플루트 이미래 바이올린 김명현 첼로 최유진 클라리넷 김소연 피아노 신혜영 외 출연,이럴때 이런음악  해설이 있는 청소년을 위한 음악회 17주년 공연   어서와! 클래식은 처음이지?  ‘특별한 해설’이 있는 클래식을 들으며   나도 클래식 매니아가 된다    방학기간을 이용해 클래식에 좀 더 가까워질 수 없을까?  어렵게만 느껴지는 클래식을 좀 더 쉽고 재미있게 다가갈 수 없을까?   2003년부터 17주년을 맞게 되는 ‘해설이 있는 청소년을 위한 음악회’의 원조 공연으로 매년 전석 매진을 기록한 여름방학 ‘여름이야기’ 시리즈로 연주되는 이번 공연에서는 4대의 피아노 성악 앙상블 현악악상블 피아노 콰르텟 플룻 오케스트라 국악과 함께하는 왈츠 환상곡 애니메이션 주제곡으로 연주되는 광고나 영화에서 들어왔던 오페라 아리아 뮤지컬 넘버 발레 모음곡 오케스트라 국악 등 지금까지 클래식 공연에서 느낄 수 없었던 ‘특별한 해설’이 있는 음악회로 청소년 여러분을 그 현장에 초대합니다.  멀게만 느껴졌던 클래식을 몸소 체험하고 느낄 수 있는 기회가 될 것입니다.,8월 9일 (일) 3시 영산아트홀 슬기로운 음악생활 ‘세계 음악여행’  8월 15일 (토) 3시 영산아트홀 클래식이 즐거워지는 시간 ‘올댓 클래식’,http://hoonent.com/board/?mid=pi&document_srl=16288 ,http://culture.seoul.go.kr/data/ci/20200714151610.jpg,2020-07-14,시민,00:00.0,00:00.0,어린이/청소년 문화행사
클래식,김애리 피아노 독주회,2020-08-16~2020-08-16,금호아트홀연세,서대문구청,민7세 이상,전석 2만원(학생할인50%),피아니스트 김애리,김애리 피아노 독주회 KIM AE RI PIANO RECITAL  2020년 8월 16일 SUN 15:00 금호아트홀 연세   주최 및 주관 &amp;verbar; J&amp;R예술기획  후 원 &amp;verbar; 선화예술중?고 연세대학교 파리에꼴노르말 동문회 입장권 &amp;verbar; 전석2만원(학생할인 50%) 예매처 &amp;verbar; 인터파크티켓 1544-1555 문 의 &amp;verbar; J&amp;R예술기획 02-3491-2370 www.jnrart.com   PROGRAM  L. v. Beethoven       Piano Sonata No. 21 in C Major Op. 53 &amp;#39;Waldstein&amp;#39;                                         Ⅰ.Allegro con brio                                          Ⅱ.Introduzione. Adagio molto                                          Ⅲ.Rondo. Allegretto moderato  F. Mendelssohn                    Variations serieuses Op.54    INTERMISSION   J. Harvey                          Tombeau de Messiaen  A. Khachaturian                    Toccata for Piano  P. Jodlowski                        Serie Noire,,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20005331,http://culture.seoul.go.kr/data/ci/20200710171938.jpg,2020-07-10,기관,00:00.0,00:00.0,기타
국악,차와 이야기 그리고 우리 음악으로 행복한 시간 <다담>,2020-06-24~2020-11-25,국립국악원 우면당,정부문화포털,8세 이상,전석 2만원,,,,http://www.gugak.go.kr/site/program/performance/detail?menuid=001001001001&amp;performance_id=15607,http://culture.seoul.go.krhttp://www.culture.go.kr/upload/rdf/20/04/show_202004278595246718.png,2020-06-24,,00:00.0,00:00.0,기타
뮤지컬/오페라,(공연취소)뮤지컬 `마마돈크라이`,2020-06-17~2020-08-09,세종M씨어터,세종문화회관,15세 이상 관람가,R석 66000원 S석 44000원 /,,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=30953&amp;menuNo=200004,http://culture.seoul.go.krhttps://www.sejongpac.or.kr/cmmn/file/linkedxmlImg.do?performIdx=30953,2020-06-17,,00:00.0,00:00.0,기타
뮤지컬/오페라,창작뮤지컬 <백범>,2020-09-10~2020-10-04,국립중앙박물관 극장 용,용산구청,만 7세 이상(미취학 아동 입장불가),VIP석   99000 원 / R석   77000 원 / S석   55000 원 / A석   33000 원,,2020년 국립박물관문화재단이 선보이는 박물관 역사 잇기 시리즈 신작으로 백범 김구의 파란만장했던 인생 일대기를 역동적인 뮤지컬 무대로 만난다.,,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=20004440,http://culture.seoul.go.kr/data/ci/20200617120821.jpg,2020-06-17,기관,00:00.0,00:00.0,기타
